id,url,aspect,date,elevation,lat,lng,observerName,has_photo,has_video,snow_profile,primaryAvalancheProblem,avalancheProblem,region,roles,redFlags
34376,https://utahavalanchecenter.org/observation/34376,,20171224,Unknown,0,0,"Greg Gagne with Tom Flaherty",1,1,0,"Persistent Weak Layer",Array,"West Bowl","UAC Staff",Array
34314,https://utahavalanchecenter.org/observation/34314,,20171223,Unknown,0,0,"Greg Gagne with Patrice Duvernay",0,0,0,"Wind Drifted Snow",Array,"Little Cottonwood Canyon","UAC Staff",Array
34212,https://utahavalanchecenter.org/observation/34212,,20171221,Unknown,0,0,"Greg Gagne with ""Gunner"" Frey.",0,0,0,"Wind Drifted Snow",Array,"Little Cottonwood Canyon","UAC Staff",Array
34086,https://utahavalanchecenter.org/observation/34086,,20171217,Unknown,0,0,"Greg Gagne",1,1,0,,Array,"Catherine's Pass","UAC Staff",Array
34085,https://utahavalanchecenter.org/observation/34085,,20171217,Unknown,0,0,"Hardesty, Wilson, Diegel, Patterson",1,1,0,,Array,"Reynolds Pk","UAC Staff",Array
33994,https://utahavalanchecenter.org/observation/33994,,20171214,Unknown,0,0,"Hardesty, O'Connor",1,1,0,,Array,"Alta Periphery","UAC Staff",Array
33962,https://utahavalanchecenter.org/observation/33962,Southeast,20171213,10500,40.575573680558,-111.60154579792,Evelyn,1,0,0,,Array,"Salt Lake","UAC Staff",Array
33888,https://utahavalanchecenter.org/observation/33888,,20171210,Unknown,0,0,Hardesty,1,0,0,,Array,"Guardsman Pass area","UAC Staff",Array
33811,https://utahavalanchecenter.org/observation/33811,,20171207,Unknown,0,0,"Craig Gordon",0,0,0,,Array,"Brighton Perimeter","UAC Staff",Array
33773,https://utahavalanchecenter.org/observation/33773,,20171206,Unknown,0,0,"Hardesty, Dunn",0,0,0,"Persistent Weak Layer",Array,"Alta Periphery","UAC Staff",Array
33750,https://utahavalanchecenter.org/observation/33750,,20171205,Unknown,0,0,"Craig Gordon",0,0,0,"Persistent Weak Layer",Array,"Millicent Peak","UAC Staff",Array
33739,https://utahavalanchecenter.org/observation/33739,Northwest,20171205,9100,0,0,"Mark Staples",1,0,1,"Persistent Weak Layer",Array,"Grizzly Gulch","UAC Staff",Array
33701,https://utahavalanchecenter.org/observation/33701,,20171204,Unknown,0,0,"Greg Gagne",1,0,0,"Persistent Weak Layer",Array,"Millicent Peak","UAC Staff",Array
33663,https://utahavalanchecenter.org/observation/33663,,20171203,Unknown,0,0,Gagne/Johnston,0,1,0,"Persistent Weak Layer",Array,"Preston Peak","UAC Staff",Array
33631,https://utahavalanchecenter.org/observation/33631,,20171202,Unknown,0,0,"Greg Gagne",1,1,0,"Persistent Weak Layer",Array,Brighton,"UAC Staff",Array
33602,https://utahavalanchecenter.org/observation/33602,North,20171201,10200,40.600083129685,-111.63731573734,Evelyn,1,0,0,,Array,"Upper Days","UAC Staff",Array
33566,https://utahavalanchecenter.org/observation/33566,North,20171129,9800,40.630266820949,-111.56952448658,Hardesty,1,0,1,,Array,"Park City Ridgeline","UAC Staff",Array
33496,https://utahavalanchecenter.org/observation/33496,,20171126,Unknown,0,0,"Greg Gagne",1,0,0,"Persistent Weak Layer",Array,"Little Cottonwood Canyon","UAC Staff",Array
33487,https://utahavalanchecenter.org/observation/33487,,20171125,Unknown,0,0,"Craig Gordon",0,0,0,,Array,"Big Cottonwood Canyon","UAC Staff",Array
33457,https://utahavalanchecenter.org/observation/33457,,20171123,Unknown,0,0,"Hardesty and Wilson",0,0,0,"Persistent Weak Layer",Array,"Alta Periphery","UAC Staff",Array
33434,https://utahavalanchecenter.org/observation/33434,,20171122,Unknown,0,0,Brighton,1,0,0,,Array,"Brighton Perimeter","UAC Staff",Array
33417,https://utahavalanchecenter.org/observation/33417,,20171121,Unknown,40.581957665509,-111.61405562076,"Joey Campaneli",0,0,0,,Array,"Alta Periphery","UAC Staff",Array
33359,https://utahavalanchecenter.org/observation/33359,,20171119,Unknown,0,0,"Greg Gagne",1,0,0,"Persistent Weak Layer",Array,"Little Cottonwood Canyon","UAC Staff",Array
